연도,성별,지역,학교유형,세부유형,설립유형,학년,학생(명),학급(개),학교(개),교직원(명)
2018,남녀,강원도,초등학교,전체,전체,전체,75412,4271,351,6558
2018,남녀,경기도,초등학교,전체,전체,전체,752499,30119,1261,45201
2018,남녀,경상남도,초등학교,전체,전체,전체,191016,9022,502,13623
2018,남녀,경상북도,초등학교,전체,전체,전체,129290,6291,470,10168
2018,남녀,광주광역시,초등학교,전체,전체,전체,88622,4050,154,6084
2018,남녀,대구광역시,초등학교,전체,전체,전체,125160,5473,229,9039
2018,남녀,대전광역시,초등학교,전체,전체,전체,83453,3897,148,6030
2018,남녀,부산광역시,초등학교,전체,전체,전체,152775,6856,305,10170
2018,남녀,서울특별시,초등학교,전체,전체,전체,424800,18585,603,28992
2018,남녀,세종특별자치시,초등학교,전체,전체,전체,24865,1179,47,1793
2018,남녀,울산광역시,초등학교,전체,전체,전체,67290,2926,117,4229
2018,남녀,인천광역시,초등학교,전체,전체,전체,158871,6981,249,10037
2018,남녀,전라남도,초등학교,전체,전체,전체,94134,5077,429,8028
2018,남녀,전라북도,초등학교,전체,전체,전체,97606,5110,419,8126
2018,남녀,제주특별자치도,초등학교,전체,전체,전체,40096,1775,113,2757
2018,남녀,충청남도,초등학교,전체,전체,전체,120152,5925,409,9203
2018,남녀,충청북도,초등학교,전체,전체,전체,85344,4281,258,6646
2017,남녀,전국,초등학교,전체,전체,전체,2674227,120152,6040,184358
2017,남녀,강원도,초등학교,전체,전체,전체,75722,4280,351,6541
2017,남녀,경기도,초등학교,전체,전체,전체,733941,29365,1241,44080
2017,남녀,경상남도,초등학교,전체,전체,전체,186619,8870,503,13501
2017,남녀,경상북도,초등학교,전체,전체,전체,127642,6211,468,10021
2017,남녀,광주광역시,초등학교,전체,전체,전체,88189,3996,154,6025
2017,남녀,대구광역시,초등학교,전체,전체,전체,124708,5507,228,8900
2017,남녀,대전광역시,초등학교,전체,전체,전체,84240,3891,147,6010
2017,남녀,부산광역시,초등학교,전체,전체,전체,150863,6840,308,10173
2017,남녀,서울특별시,초등학교,전체,전체,전체,428333,18625,603,29191
2017,남녀,세종특별자치시,초등학교,전체,전체,전체,20764,994,43,1536
2017,남녀,울산광역시,초등학교,전체,전체,전체,66016,2923,118,4240
2017,남녀,인천광역시,초등학교,전체,전체,전체,156470,6788,249,9983
2017,남녀,전라남도,초등학교,전체,전체,전체,93233,5032,430,7965
2017,남녀,전라북도,초등학교,전체,전체,전체,97383,5058,419,8024
2017,남녀,제주특별자치도,초등학교,전체,전체,전체,38901,1748,112,2664
2017,남녀,충청남도,초등학교,전체,전체,전체,116963,5767,407,8914
2017,남녀,충청북도,초등학교,전체,전체,전체,84240,4257,259,6590
2016,남녀,전국,초등학교,전체,전체,전체,2672843,119547,6001,183452
2016,남녀,강원도,초등학교,전체,전체,전체,76772,4277,351,6558
2016,남녀,경기도,초등학교,전체,전체,전체,727380,29084,1227,43308
2016,남녀,경상남도,초등학교,전체,전체,전체,185325,8742,500,13425
2016,남녀,경상북도,초등학교,전체,전체,전체,127825,6242,469,10016
2016,남녀,광주광역시,초등학교,전체,전체,전체,89095,3985,153,6027
2016,남녀,대구광역시,초등학교,전체,전체,전체,125541,5555,225,8873
2016,남녀,대전광역시,초등학교,전체,전체,전체,85939,3956,146,6005
2016,남녀,부산광역시,초등학교,전체,전체,전체,151207,6873,308,10250
2016,남녀,서울특별시,초등학교,전체,전체,전체,436121,18621,601,29448
2016,남녀,세종특별자치시,초등학교,전체,전체,전체,17910,828,37,1279
2016,남녀,울산광역시,초등학교,전체,전체,전체,65629,2880,117,4235
2016,남녀,인천광역시,초등학교,전체,전체,전체,155590,6772,247,9967
2016,남녀,전라남도,초등학교,전체,전체,전체,92981,5005,427,7968
2016,남녀,전라북도,초등학교,전체,전체,전체,97895,5071,416,8002
2016,남녀,제주특별자치도,초등학교,전체,전체,전체,38272,1740,112,2676
2016,남녀,충청남도,초등학교,전체,전체,전체,115309,5656,405,8829
2016,남녀,충청북도,초등학교,전체,전체,전체,84052,4260,260,6586
2015,남녀,전국,초등학교,전체,전체,전체,2714610,120063,5978,182658
2015,남녀,강원도,초등학교,전체,전체,전체,78414,4342,351,6699
2015,남녀,경기도,초등학교,전체,전체,전체,733359,28975,1213,42569
2015,남녀,경상남도,초등학교,전체,전체,전체,187075,8703,498,13301
2015,남녀,경상북도,초등학교,전체,전체,전체,129743,6305,476,10059
2015,남녀,광주광역시,초등학교,전체,전체,전체,91862,4023,153,6013
2015,남녀,대구광역시,초등학교,전체,전체,전체,129583,5821,221,8869
2015,남녀,대전광역시,초등학교,전체,전체,전체,89464,3997,146,6006
2015,남녀,부산광역시,초등학교,전체,전체,전체,154283,7063,306,10414
2015,남녀,서울특별시,초등학교,전체,전체,전체,450675,18780,599,29627
2015,남녀,세종특별자치시,초등학교,전체,전체,전체,13353,672,35,1034
2015,남녀,울산광역시,초등학교,전체,전체,전체,66134,2887,119,4260
2015,남녀,인천광역시,초등학교,전체,전체,전체,157099,6753,243,9874
2015,남녀,전라남도,초등학교,전체,전체,전체,94368,5041,426,8026
2015,남녀,전라북도,초등학교,전체,전체,전체,100260,5142,415,8017
2015,남녀,제주특별자치도,초등학교,전체,전체,전체,38164,1739,112,2658
2015,남녀,충청남도,초등학교,전체,전체,전체,115484,5580,405,8682
2015,남녀,충청북도,초등학교,전체,전체,전체,85290,4240,260,6550
2014,남녀,전국,초등학교,전체,전체,전체,2728509,119894,5934,182672
2014,남녀,강원도,초등학교,전체,전체,전체,80458,4321,351,6702
2014,남녀,경기도,초등학교,전체,전체,전체,732307,29070,1195,42753
2014,남녀,경상남도,초등학교,전체,전체,전체,186973,8620,493,13327
2014,남녀,경상북도,초등학교,전체,전체,전체,131307,6331,478,10036
2014,남녀,광주광역시,초등학교,전체,전체,전체,93163,3989,150,6001
2014,남녀,대구광역시,초등학교,전체,전체,전체,131765,5919,220,8971
2014,남녀,대전광역시,초등학교,전체,전체,전체,91599,3962,143,5976
2014,남녀,부산광역시,초등학교,전체,전체,전체,155754,7068,305,10540
2014,남녀,서울특별시,초등학교,전체,전체,전체,457517,18854,599,29613
2014,남녀,세종특별자치시,초등학교,전체,전체,전체,8057,402,26,663
2014,남녀,울산광역시,초등학교,전체,전체,전체,65810,2884,119,4346
2014,남녀,인천광역시,초등학교,전체,전체,전체,156740,6757,242,9890
2014,남녀,전라남도,초등학교,전체,전체,전체,95720,5096,424,8046
2014,남녀,전라북도,초등학교,전체,전체,전체,101860,5165,414,7989
2014,남녀,제주특별자치도,초등학교,전체,전체,전체,37915,1713,111,2620
2014,남녀,충청남도,초등학교,전체,전체,전체,115056,5577,405,8717
2014,남녀,충청북도,초등학교,전체,전체,전체,86508,4166,259,6482
2013,남녀,전국,초등학교,전체,전체,전체,2784000,119896,5913,181585
2013,남녀,강원도,초등학교,전체,전체,전체,83187,4361,351,6754
2013,남녀,경기도,초등학교,전체,전체,전체,739619,28580,1187,41962
2013,남녀,경상남도,초등학교,전체,전체,전체,190166,8640,493,13287
2013,남녀,경상북도,초등학교,전체,전체,전체,135237,6404,477,10015
2013,남녀,광주광역시,초등학교,전체,전체,전체,96055,4002,149,5960
2013,남녀,대구광역시,초등학교,전체,전체,전체,136309,5970,219,9004
2013,남녀,대전광역시,초등학교,전체,전체,전체,93398,3988,143,5968
2013,남녀,부산광역시,초등학교,전체,전체,전체,160821,7067,302,10558
2013,남녀,서울특별시,초등학교,전체,전체,전체,469392,19149,597,29751
2013,남녀,세종특별자치시,초등학교,전체,전체,전체,7090,335,22,524
2013,남녀,울산광역시,초등학교,전체,전체,전체,67156,2813,118,4362
2013,남녀,인천광역시,초등학교,전체,전체,전체,157918,6717,240,9748
2013,남녀,전라남도,초등학교,전체,전체,전체,99206,5213,426,8130
2013,남녀,전라북도,초등학교,전체,전체,전체,105135,5276,414,8065
2013,남녀,제주특별자치도,초등학교,전체,전체,전체,38235,1680,110,2564
2013,남녀,충청남도,초등학교,전체,전체,전체,116216,5531,406,8573
2013,남녀,충청북도,초등학교,전체,전체,전체,88860,4170,259,6360
2012,남녀,전국,초등학교,전체,전체,전체,2951995,121393,5895,181435
2012,남녀,강원도,초등학교,전체,전체,전체,88865,4374,352,6683
2012,남녀,경기도,초등학교,전체,전체,전체,775163,28664,1176,42104
2012,남녀,경상남도,초등학교,전체,전체,전체,202320,8683,491,13286
2012,남녀,경상북도,초등학교,전체,전체,전체,144918,6644,484,10190
2012,남녀,광주광역시,초등학교,전체,전체,전체,102912,4076,148,6001
2012,남녀,대구광역시,초등학교,전체,전체,전체,146899,5965,217,8860
