날짜,월,성별,시작연령,종료연령,지역,항목,값,전월대비 ±,전월대비(%) ±,인구천명당
2018,4월,남녀,전 연령,전 연령,전국,이혼(건),8685,-432,-4.74,2.1
2018,3월,남녀,전 연령,전 연령,전국,이혼(건),9117,1393,18.03,2.1
2018,2월,남녀,전 연령,전 연령,전국,이혼(건),7724,-1136,-12.82,2
2018,1월,남녀,전 연령,전 연령,전국,이혼(건),8860,26,0.29,2
2017,12월,남녀,전 연령,전 연령,전국,이혼(건),8834,-305,-3.34,2
2017,11월,남녀,전 연령,전 연령,전국,이혼(건),9139,788,9.44,2.2
2017,10월,남녀,전 연령,전 연령,전국,이혼(건),8351,-1049,-11.16,1.9
2017,9월,남녀,전 연령,전 연령,전국,이혼(건),9400,-82,-0.86,2.2
2017,8월,남녀,전 연령,전 연령,전국,이혼(건),9482,1288,15.72,2.2
2017,7월,남녀,전 연령,전 연령,전국,이혼(건),8194,-777,-8.66,1.9
2017,6월,남녀,전 연령,전 연령,전국,이혼(건),8971,-318,-3.42,2.1
2017,5월,남녀,전 연령,전 연령,전국,이혼(건),9289,1378,17.42,2.1
2017,4월,남녀,전 연령,전 연령,전국,이혼(건),7911,-1575,-16.6,1.9
2017,3월,남녀,전 연령,전 연령,전국,이혼(건),9486,612,6.9,2.2
2017,2월,남녀,전 연령,전 연령,전국,이혼(건),8874,773,9.54,2.3
2017,1월,남녀,전 연령,전 연령,전국,이혼(건),8101,-1151,-12.44,1.9
2016,12월,남녀,전 연령,전 연령,전국,이혼(건),9252,-698,-7.02,2.1
2016,11월,남녀,전 연령,전 연령,전국,이혼(건),9950,1008,11.27,2.4
2016,10월,남녀,전 연령,전 연령,전국,이혼(건),8942,-165,-1.81,2.1
2016,9월,남녀,전 연령,전 연령,전국,이혼(건),9107,-280,-2.98,2.2
2016,8월,남녀,전 연령,전 연령,전국,이혼(건),9387,721,8.32,2.2
2016,7월,남녀,전 연령,전 연령,전국,이혼(건),8666,-549,-5.96,2
2016,6월,남녀,전 연령,전 연령,전국,이혼(건),9215,45,0.49,2.2
2016,5월,남녀,전 연령,전 연령,전국,이혼(건),9170,861,10.36,2.1
2016,4월,남녀,전 연령,전 연령,전국,이혼(건),8309,-647,-7.22,2
2016,3월,남녀,전 연령,전 연령,전국,이혼(건),8956,890,11.03,2.1
2016,2월,남녀,전 연령,전 연령,전국,이혼(건),8066,-242,-2.91,2
2016,1월,남녀,전 연령,전 연령,전국,이혼(건),8308,-1534,-15.59,1.9
2015,12월,남녀,전 연령,전 연령,전국,이혼(건),9842,746,8.2,2.3
2015,11월,남녀,전 연령,전 연령,전국,이혼(건),9096,-693,-7.08,2.2
2015,10월,남녀,전 연령,전 연령,전국,이혼(건),9789,980,11.12,2.3
2015,9월,남녀,전 연령,전 연령,전국,이혼(건),8809,127,1.46,2.1
2015,8월,남녀,전 연령,전 연령,전국,이혼(건),8682,-834,-8.76,2
2015,7월,남녀,전 연령,전 연령,전국,이혼(건),9516,-484,-4.84,2.2
2015,6월,남녀,전 연령,전 연령,전국,이혼(건),10000,1683,20.24,2.4
2015,5월,남녀,전 연령,전 연령,전국,이혼(건),8317,-501,-5.68,1.9
2015,4월,남녀,전 연령,전 연령,전국,이혼(건),8818,-401,-4.35,2.1
2015,3월,남녀,전 연령,전 연령,전국,이혼(건),9219,1440,18.51,2.1
2015,2월,남녀,전 연령,전 연령,전국,이혼(건),7779,-1507,-16.23,2
2015,1월,남녀,전 연령,전 연령,전국,이혼(건),9286,-604,-6.11,2.1
2014,12월,남녀,전 연령,전 연령,전국,이혼(건),9890,569,6.1,2.3
2014,11월,남녀,전 연령,전 연령,전국,이혼(건),9321,-706,-7.04,2.2
2014,10월,남녀,전 연령,전 연령,전국,이혼(건),10027,138,1.4,2.3
2014,9월,남녀,전 연령,전 연령,전국,이혼(건),9889,727,7.93,2.4
2014,8월,남녀,전 연령,전 연령,전국,이혼(건),9162,-1180,-11.41,2.1
2014,7월,남녀,전 연령,전 연령,전국,이혼(건),10342,704,7.3,2.4
2014,6월,남녀,전 연령,전 연령,전국,이혼(건),9638,-214,-2.17,2.3
2014,5월,남녀,전 연령,전 연령,전국,이혼(건),9852,276,2.88,2.3
2014,4월,남녀,전 연령,전 연령,전국,이혼(건),9576,104,1.1,2.3
2014,3월,남녀,전 연령,전 연령,전국,이혼(건),9472,203,2.19,2.2
2014,2월,남녀,전 연령,전 연령,전국,이혼(건),9269,197,2.17,2.4
2014,1월,남녀,전 연령,전 연령,전국,이혼(건),9072,-920,-9.21,2.1
2013,12월,남녀,전 연령,전 연령,전국,이혼(건),9992,250,2.57,2.3
2013,11월,남녀,전 연령,전 연령,전국,이혼(건),9742,-848,-8.01,2.3
2013,10월,남녀,전 연령,전 연령,전국,이혼(건),10590,1219,13.01,2.5
2013,9월,남녀,전 연령,전 연령,전국,이혼(건),9371,-456,-4.64,2.3
2013,8월,남녀,전 연령,전 연령,전국,이혼(건),9827,-962,-8.92,2.3
2013,7월,남녀,전 연령,전 연령,전국,이혼(건),10789,1617,17.63,2.5
2013,6월,남녀,전 연령,전 연령,전국,이혼(건),9172,-1094,-10.66,2.2
2013,5월,남녀,전 연령,전 연령,전국,이혼(건),10266,1069,11.62,2.4
2013,4월,남녀,전 연령,전 연령,전국,이혼(건),9197,669,7.84,2.2
2013,3월,남녀,전 연령,전 연령,전국,이혼(건),8528,81,0.96,2
2013,2월,남녀,전 연령,전 연령,전국,이혼(건),8447,-924,-9.86,2.2
2013,1월,남녀,전 연령,전 연령,전국,이혼(건),9371,470,5.28,2.2
2012,12월,남녀,전 연령,전 연령,전국,이혼(건),8901,-1014,-10.23,2.1
2012,11월,남녀,전 연령,전 연령,전국,이혼(건),9915,-57,-0.57,2.4
2012,10월,남녀,전 연령,전 연령,전국,이혼(건),9972,835,9.14,2.3
2012,9월,남녀,전 연령,전 연령,전국,이혼(건),9137,-833,-8.36,2.2
2012,8월,남녀,전 연령,전 연령,전국,이혼(건),9970,-188,-1.85,2.3
2012,7월,남녀,전 연령,전 연령,전국,이혼(건),10158,456,4.7,2.4
2012,6월,남녀,전 연령,전 연령,전국,이혼(건),9702,-413,-4.08,2.4
2012,5월,남녀,전 연령,전 연령,전국,이혼(건),10115,1591,18.66,2.4
2012,4월,남녀,전 연령,전 연령,전국,이혼(건),8524,-987,-10.38,2.1
2012,3월,남녀,전 연령,전 연령,전국,이혼(건),9511,113,1.2,2.2
2012,2월,남녀,전 연령,전 연령,전국,이혼(건),9398,385,4.27,2.4
2012,1월,남녀,전 연령,전 연령,전국,이혼(건),9013,-1334,-12.89,2.1
2011,12월,남녀,전 연령,전 연령,전국,이혼(건),10347,-68,-0.65,2.4
2011,11월,남녀,전 연령,전 연령,전국,이혼(건),10415,746,7.72,2.5
2011,10월,남녀,전 연령,전 연령,전국,이혼(건),9669,-304,-3.05,2.3
2011,9월,남녀,전 연령,전 연령,전국,이혼(건),9973,228,2.34,2.4
2011,8월,남녀,전 연령,전 연령,전국,이혼(건),9745,225,2.36,2.3
2011,7월,남녀,전 연령,전 연령,전국,이혼(건),9520,-260,-2.66,2.2
2011,6월,남녀,전 연령,전 연령,전국,이혼(건),9780,312,3.3,2.4
2011,5월,남녀,전 연령,전 연령,전국,이혼(건),9468,994,11.73,2.2
2011,4월,남녀,전 연령,전 연령,전국,이혼(건),8474,-1178,-12.2,2.1
2011,3월,남녀,전 연령,전 연령,전국,이혼(건),9652,1370,16.54,2.3
2011,2월,남녀,전 연령,전 연령,전국,이혼(건),8282,-677,-7.56,2.2
2011,1월,남녀,전 연령,전 연령,전국,이혼(건),8959,-1330,-12.93,2.1
2010,12월,남녀,전 연령,전 연령,전국,이혼(건),10289,-492,-4.56,2.4
2010,11월,남녀,전 연령,전 연령,전국,이혼(건),10781,935,9.5,2.6
2010,10월,남녀,전 연령,전 연령,전국,이혼(건),9846,608,6.58,2.3
2010,9월,남녀,전 연령,전 연령,전국,이혼(건),9238,-489,-5.03,2.2
2010,8월,남녀,전 연령,전 연령,전국,이혼(건),9727,-153,-1.55,2.3
2010,7월,남녀,전 연령,전 연령,전국,이혼(건),9880,-405,-3.94,2.3
2010,6월,남녀,전 연령,전 연령,전국,이혼(건),10285,995,10.71,2.5
2010,5월,남녀,전 연령,전 연령,전국,이혼(건),9290,-155,-1.64,2.2
2010,4월,남녀,전 연령,전 연령,전국,이혼(건),9445,-748,-7.34,2.3
2010,3월,남녀,전 연령,전 연령,전국,이혼(건),10193,1593,18.52,2.4
2010,2월,남녀,전 연령,전 연령,전국,이혼(건),8600,-684,-7.37,2.3
2010,1월,남녀,전 연령,전 연령,전국,이혼(건),9284,,,2.2
